------------------------------- load model ----------------------------------
<tensorflow.python.keras.engine.functional.Functional object at 0x000001D5009E82C8>
episode:5 step:76 predict_action:[[0.00053835]] action:[[0.04395192]] reward:[1.1991242]
episode:5 step:77 predict_action:[[-0.01294066]] action:[[-0.0157577]] reward:[1.21084723]
episode:5 step:78 predict_action:[[-0.0068827]] action:[[0.08083913]] reward:[1.19580115]
episode:5 step:79 predict_action:[[-0.01269837]] action:[[-0.05572283]] reward:[1.19333679]
episode:5 step:80 predict_action:[[-0.00592763]] action:[[-0.09541751]] reward:[1.18384544]
episode:5 step:81 predict_action:[[-0.00057948]] action:[[0.02360922]] reward:[1.21649142]
episode:5 step:82 predict_action:[[0.00249982]] action:[[-0.06927256]] reward:[1.21049236]
episode:5 step:83 predict_action:[[0.01420609]] action:[[-0.02906075]] reward:[1.23131335]
episode:5 step:84 predict_action:[[0.01529581]] action:[[0.02744032]] reward:[1.24363762]
episode:5 step:85 predict_action:[[0.02110144]] action:[[-0.05189142]] reward:[1.2414678]
episode:5 step:86 predict_action:[[0.02515539]] action:[[-0.10683017]] reward:[1.2387115]
episode:5 step:87 predict_action:[[0.03254106]] action:[[0.133877]] reward:[1.25490533]
episode:5 step:88 predict_action:[[0.02648619]] action:[[0.10879397]] reward:[1.26729597]
episode:5 step:89 predict_action:[[0.0313827]] action:[[0.15463181]] reward:[1.2451128]
episode:5 step:90 predict_action:[[0.18706585]] action:[[0.17787476]] reward:[1.21839247]
episode:5 step:91 predict_action:[[0.1669135]] action:[[0.0869026]] reward:[1.20827511]
episode:5 step:92 predict_action:[[0.15106362]] action:[[0.07334596]] reward:[1.18130312]
episode:5 step:93 predict_action:[[0.5078856]] action:[[0.44514123]] reward:[1.05963042]
episode:5 step:94 predict_action:[[0.674292]] action:[[0.47026289]] reward:[1.00300116]
episode:5 step:95 predict_action:[[0.9651258]] action:[[0.73335445]] reward:[0.82948496]
episode:5 step:96 predict_action:[[0.95826995]] action:[[0.9761148]] reward:[-10]
Training  | Episode: 6/10000  | Episode Reward: 105.4161  | Running Time: 108.0258
============ S T O P ============
Traceback (most recent call last):
  File "ddpg_p.py", line 550, in <module>
    obs_, reward, done, info = env.step(action[0])
  File "D:\study\driverless\code\carla_drl\DRL\TD3\UE4.py", line 238, in step
    self.world.tick()
RuntimeError: time-out of 30000ms while waiting for the simulator, make sure the simulator is ready and connected to localhost:2000
